record_id,equipment_id,equipment_type,location,visit_date,technician_id,defect_description,true_defect_label,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence,quality_score
WO-00112,EQ-0018,Electric Motor,Utilities Block,2023-10-30,TECH-001,"Overheating on drive-end bearing, infrared scan shows hot spot at 97°C. Additionally, electrical cabinet temperature 118°c due to failed ventilation fan",overheating,High,6.0,13.9,20.2,Impeller,0.94,0.79,0.8,0.41,0.754
WO-00113,EQ-0017,Electric Motor,Plant A - Line 2,2023-12-30,TECH-017,"Misalignment between motor and gearbox shaft, 12.3 mm/s 2X vibration. Additionally, coating failure on tank exterior, rust streaks visible below insulation",vibration,Medium,,10.6,3.0,Contactor 3RT2,0.93,0.88,0.9,0.76,0.874
WO-00114,EQ-0043,Air Compressor,Plant A - Line 1,2023-07-02,TECH-012,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,,7.9,11.1,Capacitor 40µF,0.51,0.5,0.83,0.73,0.631
WO-00115,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-04-20,TECH-019,"Bearing temperature elevated to 112°C during operation, vibration increasing",bearing_wear,Medium,,7.8,10.1,Mechanical seal kit,0.63,0.52,0.56,0.81,0.616
WO-00116,EQ-0034,Air Compressor,Plant B - Line 1,2022-07-01,TECH-006,"Mechanical seal leaking at shaft interface, fluid loss approx 92 ml/hr",seal_leak,Medium,15.0,0.6,0.2,O-ring set,0.64,0.86,0.54,0.77,0.707
WO-00117,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-12-12,TECH-017,"Overheating on drive-end bearing, infrared scan shows hot spot at 95°C",overheating,High,,5.3,0.8,Oil filter + 5L oil,0.42,0.89,0.65,0.57,0.648
WO-00118,EQ-0047,Air Compressor,Utilities Block,2022-08-05,TECH-012,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,Medium,,9.6,2.4,Bearing 6205-2RS,0.56,0.78,0.89,0.77,0.75
WO-00119,EQ-0039,Hydraulic Press,Plant B - Line 3,2022-04-14,TECH-005,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,Low,,4.7,4.3,None - monitoring,0.88,0.46,0.86,0.47,0.667
WO-00120,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-10-31,TECH-002,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced. Additionally, surface corrosion on pipe flanges, pitting depth approx 2.1mm",corrosion,Low,13.0,2.0,0.5,Oil filter + 5L oil,0.55,0.81,0.71,0.47,0.652
WO-00121,EQ-0049,Cooling Tower,Utilities Block,2022-10-06,TECH-014,"Oil level low in gearbox sight glass, top-up of 2.3L required",lubrication,Low,,11.2,8.0,O-ring set,0.38,0.82,0.53,0.97,0.668
WO-00122,EQ-0011,Cooling Tower,Plant A - Line 1,2023-12-19,TECH-016,"Metal particles found in oil sample, bearing degradation confirmed. Additionally, structural resonance observed at 3000 rpm, bolts found loose on baseplate",bearing_wear,Medium,,7.2,7.8,Coupling insert,0.76,0.78,0.57,0.9,0.746
WO-00123,EQ-0040,Gearbox,Plant A - Line 1,2022-08-29,TECH-016,"Bearing vibration amplitude 9.5 mm/s RMS, trending upward over last 34 days",bearing_wear,Medium,114.0,12.9,8.7,Impeller,0.52,0.99,0.87,0.41,0.726
WO-00124,EQ-0026,Cooling Tower,Warehouse C,2022-12-06,TECH-012,"Compressor discharge temperature 100°C, intercooler bypass suspected",overheating,High,159.0,9.8,10.5,Impeller,0.38,0.86,0.61,0.6,0.626
WO-00125,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-02-07,TECH-014,"Oil analysis shows high iron content 150 ppm, internal wear indicated",lubrication,Low,49.0,11.6,1.9,Bearing 6205-2RS,0.95,0.9,0.79,0.86,0.877
WO-00126,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-04-09,TECH-017,"Compressor discharge temperature 97°C, intercooler bypass suspected. Additionally, lubricant contamination detected, water content 29% above limit",overheating,High,,2.6,2.3,Oil filter + 5L oil,0.89,0.73,0.66,0.84,0.775
WO-00127,EQ-0036,Gearbox,Plant A - Line 1,2023-11-15,TECH-018,"Unbalance detected on rotating assembly, vibration 6.6 mm/s 1X component",vibration,Medium,,11.0,14.7,Oil filter + 5L oil,0.91,0.65,0.51,0.46,0.642
WO-00128,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-09-23,TECH-018,"Bearing vibration amplitude 14.0 mm/s RMS, trending upward over last 13 days",bearing_wear,Medium,,12.0,15.6,None - monitoring,0.47,0.87,0.9,0.57,0.718
WO-00129,EQ-0043,Air Compressor,Plant A - Line 1,2023-08-26,TECH-007,"Bearing play exceeding tolerance, axial movement of 1.1mm observed",bearing_wear,Medium,155.0,3.5,3.8,Oil filter + 5L oil,0.61,0.99,0.54,0.98,0.78
WO-00130,EQ-0048,Cooling Tower,Plant B - Line 3,2023-10-03,TECH-019,"Structural resonance observed at 750 RPM, bolts found loose on baseplate",vibration,Medium,,10.8,7.9,Capacitor 40µF,0.55,0.87,0.66,0.53,0.67
WO-00131,EQ-0012,Conveyor Belt,Warehouse C,2023-10-27,TECH-020,"Impeller damage suspected, broadband vibration increase 10.7 mm/s",vibration,Medium,172.0,5.9,2.1,Contactor 3RT2,0.97,0.81,0.66,0.95,0.84
WO-00132,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-03-15,TECH-011,"Compressor discharge temperature 111°C, intercooler bypass suspected. Additionally, wrong lubricant grade used during last service, compatibility issue",overheating,High,,2.9,2.0,Bearing 6205-2RS,0.36,0.43,0.9,0.73,0.59
WO-00133,EQ-0037,Gearbox,Warehouse C,2023-12-19,TECH-010,"Rust deposits blocking strainer, pressure differential 24 PSI across filter",corrosion,Low,,6.0,4.5,Oil filter + 5L oil,0.72,0.57,0.96,0.63,0.717
WO-00134,EQ-0043,Air Compressor,Plant A - Line 1,2023-10-24,TECH-020,"Bearing temperature elevated to 99°C during operation, vibration increasing. Additionally, wrong lubricant grade used during last service, compatibility issue",bearing_wear,Medium,,2.7,0.7,Oil filter + 5L oil,0.44,0.51,0.9,0.91,0.67
WO-00135,EQ-0049,Cooling Tower,Utilities Block,2022-10-19,TECH-015,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,14.5,6.9,Coupling insert,0.73,0.58,0.79,0.74,0.702
WO-00136,EQ-0024,Heat Exchanger,Warehouse C,2023-07-19,TECH-005,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced",corrosion,Low,166.0,9.9,12.5,Capacitor 40µF,0.44,0.84,0.81,0.84,0.732
WO-00137,EQ-0002,Heat Exchanger,Utilities Block,2023-08-27,TECH-017,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,,5.0,3.5,Mechanical seal kit,0.58,0.7,0.83,0.91,0.744
WO-00138,EQ-0040,Gearbox,Plant A - Line 1,2023-08-07,TECH-003,"Capacitor bank showing reduced capacitance, power factor 0.79 below target. Additionally, lip seal deteriorated, grease escaping from gearbox output shaft",electrical_fault,High,168.0,6.4,5.6,Capacitor 40µF,0.48,0.98,0.61,0.64,0.694
WO-00139,EQ-0023,Cooling Tower,Warehouse C,2023-11-08,TECH-016,"Structural resonance observed at 750 RPM, bolts found loose on baseplate",vibration,Medium,85.0,11.7,8.5,Impeller,0.45,0.5,0.92,0.41,0.574
WO-00140,EQ-0003,Cooling Tower,Plant A - Line 1,2023-11-09,TECH-020,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,,15.2,4.9,Impeller,0.91,0.5,0.92,0.76,0.76
WO-00141,EQ-0038,Cooling Tower,Plant A - Line 2,2023-09-13,TECH-018,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,122.0,14.5,13.0,Capacitor 40µF,0.83,0.46,0.83,0.94,0.741
WO-00142,EQ-0035,Electric Motor,Warehouse C,2023-12-15,TECH-008,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,Low,109.0,2.6,1.9,Mechanical seal kit,0.5,0.93,0.7,0.51,0.681
WO-00143,EQ-0046,Electric Motor,Plant B - Line 3,2023-08-02,TECH-007,"Insulation resistance measured at 27 MΩ, below 100 MΩ minimum",electrical_fault,High,71.0,15.9,9.5,None - monitoring,0.69,0.73,0.59,0.74,0.687
WO-00144,EQ-0031,Heat Exchanger,Warehouse C,2023-07-18,TECH-013,"Dynamic seal failure suspected, pressure drop of 12% noted in system",seal_leak,Medium,,11.1,0.9,Bearing 6205-2RS,0.86,0.89,0.74,0.76,0.819
WO-00145,EQ-0006,Gearbox,Warehouse C,2023-11-04,TECH-020,"Bearing temperature elevated to 88°C during operation, vibration increasing",bearing_wear,Medium,,8.5,2.5,Capacitor 40µF,0.66,0.54,0.58,0.42,0.556
WO-00146,EQ-0016,Air Compressor,Warehouse C,2023-07-27,TECH-009,"Phase imbalance detected, current draw 30% higher on L2",electrical_fault,High,,5.9,8.5,Contactor 3RT2,0.72,0.52,0.96,0.74,0.724
WO-00147,EQ-0017,Electric Motor,Plant A - Line 2,2022-12-14,TECH-019,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,,7.6,5.3,Bearing 6205-2RS,0.64,0.55,0.69,0.87,0.672
WO-00148,EQ-0015,Conveyor Belt,Plant B - Line 1,2022-12-31,TECH-016,"Phase imbalance detected, current draw 5% higher on L2. Additionally, heat exchanger fouling reducing efficiency, outlet temp 78°c above setpoint",electrical_fault,High,28.0,2.4,0.3,Bearing 6205-2RS,0.83,0.72,0.52,0.69,0.692
WO-00149,EQ-0040,Gearbox,Plant A - Line 1,2023-12-04,TECH-017,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,Medium,,7.6,1.4,Impeller,0.52,0.41,0.84,0.63,0.589
WO-00150,EQ-0007,Heat Exchanger,Utilities Block,2023-04-07,TECH-004,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,Medium,34.0,15.7,16.2,Oil filter + 5L oil,0.86,0.73,0.93,0.52,0.77
WO-00151,EQ-0048,Cooling Tower,Plant B - Line 3,2022-12-26,TECH-019,"Grease discolouration and hardening noted around bearing cap. Additionally, o-ring compression set failure, intermittent leak under high pressure",bearing_wear,Medium,,15.4,4.6,Capacitor 40µF,0.42,0.87,0.68,0.8,0.696
WO-00152,EQ-0032,Electric Motor,Plant A - Line 2,2023-10-31,TECH-015,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced",corrosion,Low,69.0,9.9,5.9,Coupling insert,0.82,0.71,0.73,0.5,0.7
WO-00153,EQ-0002,Heat Exchanger,Utilities Block,2022-03-27,TECH-013,"Bearing temperature elevated to 107°C during operation, vibration increasing",bearing_wear,Medium,159.0,2.9,2.8,Oil filter + 5L oil,0.46,0.84,0.72,0.48,0.643
WO-00154,EQ-0034,Air Compressor,Plant B - Line 1,2023-10-14,TECH-018,"Surface corrosion on pipe flanges, pitting depth approx 1.69mm",corrosion,Low,,7.2,6.9,Oil filter + 5L oil,0.94,0.69,0.61,0.45,0.684
WO-00155,EQ-0020,Electric Motor,Warehouse C,2022-10-27,TECH-018,"Heat exchanger fouling reducing efficiency, outlet temp 74°C above setpoint",overheating,High,2.0,9.0,2.5,None - monitoring,0.58,0.5,0.87,0.63,0.638
WO-00156,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-10-15,TECH-007,"Mechanical seal leaking at shaft interface, fluid loss approx 182 ml/hr",seal_leak,Medium,116.0,4.7,4.4,Coupling insert,0.31,0.43,0.77,0.51,0.501
WO-00157,EQ-0007,Heat Exchanger,Utilities Block,2022-09-12,TECH-007,"Oil seepage observed around pump casing seal, minor pooling on floor. Additionally, grease discolouration and hardening noted around bearing cap",seal_leak,Medium,114.0,4.3,6.4,Impeller,0.81,0.46,0.83,0.53,0.654
WO-00158,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-03-21,TECH-013,"Contactor pitting observed, intermittent contact causing voltage dips",electrical_fault,High,43.0,12.8,11.2,Contactor 3RT2,0.31,0.43,0.89,0.69,0.567
WO-00159,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-10-23,TECH-007,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,,13.0,8.6,Bearing 6205-2RS,0.78,0.61,0.57,0.94,0.708
WO-00160,EQ-0032,Electric Motor,Plant A - Line 2,2023-11-06,TECH-016,"VFD fault code F77 logged, overcurrent on deceleration. Additionally, gearbox oil temperature 81°c, possible cooler blockage",electrical_fault,High,,13.2,3.8,Capacitor 40µF,0.41,0.57,0.7,0.59,0.566
WO-00161,EQ-0007,Heat Exchanger,Utilities Block,2022-09-20,TECH-007,"Excessive vibration on pump casing, amplitude 4.1 mm/s at 1500 RPM",vibration,Medium,57.0,9.9,1.1,Impeller,0.95,0.9,0.73,0.78,0.846
WO-00162,EQ-0024,Heat Exchanger,Warehouse C,2023-01-30,TECH-006,"Structural resonance observed at 750 RPM, bolts found loose on baseplate",vibration,Medium,135.0,10.7,9.1,Capacitor 40µF,0.82,0.65,0.55,0.78,0.694
WO-00163,EQ-0023,Cooling Tower,Warehouse C,2022-11-29,TECH-011,"Earth leakage current 54.3mA detected, isolation check required",electrical_fault,High,,6.9,6.6,Contactor 3RT2,0.69,0.53,0.88,0.96,0.744
WO-00164,EQ-0017,Electric Motor,Plant A - Line 2,2022-09-20,TECH-007,"Overheating on drive-end bearing, infrared scan shows hot spot at 93°C. Additionally, oil viscosity out of specification, degraded due to thermal cycling",overheating,High,,1.9,1.1,Mechanical seal kit,0.81,0.88,0.59,0.9,0.794
WO-00165,EQ-0045,Heat Exchanger,Utilities Block,2023-10-31,TECH-013,"Capacitor bank showing reduced capacitance, power factor 0.82 below target",electrical_fault,High,,14.9,14.2,Bearing 6205-2RS,0.51,0.42,0.77,0.49,0.544
WO-00166,EQ-0033,Centrifugal Pump,Warehouse C,2022-02-20,TECH-005,"Phase imbalance detected, current draw 37% higher on L2",electrical_fault,High,68.0,1.8,1.4,O-ring set,0.64,0.52,0.7,0.74,0.639
WO-00167,EQ-0036,Gearbox,Plant A - Line 1,2022-03-29,TECH-005,"Belt tension incorrect causing vibration and premature wear. Additionally, cooling fan obstructed by debris, motor surface temperature 87°c",vibration,Medium,14.0,4.3,4.0,Oil filter + 5L oil,0.31,0.82,0.56,0.67,0.597
WO-00168,EQ-0002,Heat Exchanger,Utilities Block,2022-02-14,TECH-020,"Hydraulic fluid leak at cylinder rod seal, 145 ml/hr estimated loss",seal_leak,Medium,16.0,4.9,5.8,Oil filter + 5L oil,0.34,0.79,0.5,0.63,0.573
WO-00169,EQ-0018,Electric Motor,Utilities Block,2022-11-06,TECH-009,"Earth leakage current 78.2mA detected, isolation check required. Additionally, motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,High,129.0,4.8,0.4,None - monitoring,0.92,0.89,0.51,0.73,0.771
WO-00170,EQ-0018,Electric Motor,Utilities Block,2022-11-22,TECH-011,"Dynamic seal failure suspected, pressure drop of 19% noted in system. Additionally, internal corrosion found on heat exchanger tubes during inspection",seal_leak,Medium,137.0,15.2,2.7,O-ring set,0.81,0.86,0.94,0.65,0.826
WO-00171,EQ-0027,Gearbox,Warehouse C,2023-09-03,TECH-016,"Hydraulic fluid leak at cylinder rod seal, 43 ml/hr estimated loss",seal_leak,Medium,176.0,0.9,0.1,O-ring set,0.65,0.76,0.86,0.62,0.729
WO-00172,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-09-24,TECH-014,"Unbalance detected on rotating assembly, vibration 2.5 mm/s 1X component",vibration,Medium,84.0,13.9,18.5,None - monitoring,0.84,0.76,0.91,0.83,0.832
WO-00173,EQ-0026,Cooling Tower,Warehouse C,2023-07-26,TECH-015,Belt tension incorrect causing vibration and premature wear,vibration,Medium,162.0,15.4,4.4,None - monitoring,0.92,0.86,0.64,0.5,0.748
WO-00174,EQ-0019,Centrifugal Pump,Plant B - Line 1,2022-01-26,TECH-015,"Excessive vibration on pump casing, amplitude 4.3 mm/s at 3000 RPM",vibration,Medium,152.0,14.4,19.3,Mechanical seal kit,0.48,0.82,0.95,0.88,0.78
WO-00175,EQ-0046,Electric Motor,Plant B - Line 3,2023-11-07,TECH-002,"Insulation resistance measured at 40 MΩ, below 100 MΩ minimum",electrical_fault,High,,3.0,0.7,None - monitoring,0.52,0.84,0.98,0.57,0.741
WO-00176,EQ-0012,Conveyor Belt,Warehouse C,2023-02-24,TECH-018,"Bearing temperature elevated to 77°C during operation, vibration increasing",bearing_wear,Medium,154.0,9.8,3.6,Oil filter + 5L oil,0.73,0.73,0.91,0.43,0.715
WO-00177,EQ-0010,Hydraulic Press,Plant A - Line 1,2023-12-18,TECH-019,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,Medium,144.0,3.2,2.2,Coupling insert,0.95,0.46,0.65,0.62,0.662
WO-00178,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-10-07,TECH-010,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,Low,23.0,8.0,8.3,None - monitoring,0.73,0.59,0.76,1.0,0.75
WO-00179,EQ-0023,Cooling Tower,Warehouse C,2022-08-01,TECH-011,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,16.0,9.9,Coupling insert,0.69,0.78,0.51,0.52,0.638
WO-00180,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-11-20,TECH-016,"Mechanical seal leaking at shaft interface, fluid loss approx 34 ml/hr",seal_leak,Medium,122.0,12.9,12.5,O-ring set,0.74,0.94,0.77,0.6,0.78
WO-00181,EQ-0027,Gearbox,Warehouse C,2022-09-01,TECH-004,"Oil level low in gearbox sight glass, top-up of 1.8L required. Additionally, belt tension incorrect causing vibration and premature wear",lubrication,Low,78.0,3.9,1.8,Coupling insert,0.85,0.87,0.96,0.67,0.848
WO-00182,EQ-0002,Heat Exchanger,Utilities Block,2022-11-16,TECH-010,"Chemical attack on pump impeller, material loss estimated 25%. Additionally, belt tension incorrect causing vibration and premature wear",corrosion,Low,,3.8,1.1,Oil filter + 5L oil,0.67,0.86,0.84,0.56,0.747
WO-00183,EQ-0011,Cooling Tower,Plant A - Line 1,2022-12-13,TECH-002,"Mechanical seal leaking at shaft interface, fluid loss approx 94 ml/hr",seal_leak,Medium,13.0,2.5,1.8,Mechanical seal kit,0.57,0.45,0.7,0.82,0.616
WO-00184,EQ-0038,Cooling Tower,Plant A - Line 2,2023-10-22,TECH-008,Belt tension incorrect causing vibration and premature wear,vibration,Medium,,7.7,2.7,O-ring set,0.9,0.77,0.96,0.64,0.824
WO-00185,EQ-0045,Heat Exchanger,Utilities Block,2023-05-09,TECH-014,"Oil analysis shows high iron content 228 ppm, internal wear indicated. Additionally, bearing play exceeding tolerance, axial movement of 1.81mm observed",lubrication,Low,88.0,3.7,3.9,None - monitoring,0.7,0.61,0.85,0.5,0.67
WO-00186,EQ-0043,Air Compressor,Plant A - Line 1,2023-01-24,TECH-005,"Bearing vibration amplitude 3.8 mm/s RMS, trending upward over last 41 days",bearing_wear,Medium,166.0,10.7,1.5,Bearing 6205-2RS,0.83,0.8,0.73,0.57,0.744
WO-00187,EQ-0040,Gearbox,Plant A - Line 1,2022-05-11,TECH-002,"Unbalance detected on rotating assembly, vibration 7.1 mm/s 1X component",vibration,Medium,,1.5,2.0,Bearing 6205-2RS,0.79,0.89,0.68,0.92,0.819
WO-00188,EQ-0002,Heat Exchanger,Utilities Block,2023-03-04,TECH-001,"Hydraulic fluid leak at cylinder rod seal, 108 ml/hr estimated loss",seal_leak,Medium,172.0,2.4,0.0,O-ring set,0.8,0.69,0.72,0.99,0.785
WO-00189,EQ-0006,Gearbox,Warehouse C,2023-08-15,TECH-018,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,61.0,11.5,4.6,Coupling insert,0.32,0.42,0.74,0.62,0.515
WO-00190,EQ-0038,Cooling Tower,Plant A - Line 2,2022-10-29,TECH-010,"Belt tension incorrect causing vibration and premature wear. Additionally, chemical attack on pump impeller, material loss estimated 5%",vibration,Medium,10.0,11.3,10.1,Oil filter + 5L oil,0.34,0.68,0.58,0.43,0.52
WO-00191,EQ-0019,Centrifugal Pump,Plant B - Line 1,2022-06-04,TECH-008,"Chemical attack on pump impeller, material loss estimated 22%",corrosion,Low,,6.2,1.6,Impeller,0.43,0.72,0.52,0.99,0.652
WO-00192,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-04-29,TECH-018,"Impeller damage suspected, broadband vibration increase 14.0 mm/s",vibration,Medium,119.0,6.7,3.0,Contactor 3RT2,0.57,0.82,0.74,0.49,0.671
WO-00193,EQ-0028,Air Compressor,Utilities Block,2022-10-01,TECH-015,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,,4.5,3.9,Contactor 3RT2,0.81,0.75,0.6,0.6,0.698
WO-00194,EQ-0045,Heat Exchanger,Utilities Block,2022-07-09,TECH-015,"Oil analysis shows high iron content 195 ppm, internal wear indicated. Additionally, insulation resistance measured at 6 mω, below 100 mω minimum",lubrication,Low,,11.3,4.3,Mechanical seal kit,0.75,0.95,0.64,0.66,0.764
WO-00195,EQ-0043,Air Compressor,Plant A - Line 1,2023-09-17,TECH-014,"Rust deposits blocking strainer, pressure differential 19 PSI across filter",corrosion,Low,166.0,8.1,1.7,Contactor 3RT2,0.73,0.46,0.72,0.56,0.612
WO-00196,EQ-0003,Cooling Tower,Plant A - Line 1,2023-05-18,TECH-003,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,104.0,13.6,15.9,Capacitor 40µF,0.46,0.63,0.84,0.87,0.688
WO-00197,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-08-31,TECH-010,"Misalignment between motor and gearbox shaft, 8.4 mm/s 2X vibration. Additionally, bearing play exceeding tolerance, axial movement of 0.56mm observed",vibration,Medium,100.0,1.5,1.2,Impeller,0.67,0.9,0.72,1.0,0.817
WO-00198,EQ-0003,Cooling Tower,Plant A - Line 1,2022-06-24,TECH-004,"Dynamic seal failure suspected, pressure drop of 38% noted in system. Additionally, seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,,1.5,1.8,Impeller,0.72,0.77,0.53,0.52,0.648
WO-00199,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-06-22,TECH-019,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,,9.1,6.0,Bearing 6205-2RS,0.39,0.87,0.82,0.63,0.69
WO-00200,EQ-0011,Cooling Tower,Plant A - Line 1,2023-04-07,TECH-006,"Bearing play exceeding tolerance, axial movement of 0.12mm observed",bearing_wear,Medium,45.0,10.0,0.6,Impeller,0.73,0.45,0.91,0.58,0.661
WO-00201,EQ-0027,Gearbox,Warehouse C,2023-04-10,TECH-001,"Bearing temperature elevated to 77°C during operation, vibration increasing. Additionally, hydraulic fluid leak at cylinder rod seal, 45 ml/hr estimated loss",bearing_wear,Medium,14.0,14.8,3.9,Impeller,0.66,0.44,0.62,0.67,0.586
WO-00202,EQ-0038,Cooling Tower,Plant A - Line 2,2023-03-23,TECH-005,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,157.0,7.6,4.4,Impeller,0.8,0.78,0.99,0.52,0.786
WO-00203,EQ-0009,Cooling Tower,Plant A - Line 1,2023-08-15,TECH-017,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,,13.8,1.8,Impeller,0.9,0.53,0.74,0.68,0.705
WO-00204,EQ-0001,Air Compressor,Plant A - Line 1,2023-05-06,TECH-016,"Earth leakage current 36.3mA detected, isolation check required",electrical_fault,High,,11.3,1.7,Contactor 3RT2,0.36,0.85,0.85,0.64,0.686
WO-00205,EQ-0014,Cooling Tower,Plant B - Line 1,2023-12-16,TECH-003,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient. Additionally, galvanic corrosion at dissimilar metal joint, wall thickness reduced",bearing_wear,Medium,,8.9,10.6,Coupling insert,0.82,0.43,0.97,0.8,0.736
WO-00206,EQ-0004,Electric Motor,Warehouse C,2023-08-18,TECH-008,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,Medium,,11.4,12.9,Coupling insert,0.55,0.56,0.84,0.57,0.63
WO-00207,EQ-0005,Electric Motor,Utilities Block,2022-03-31,TECH-004,"Overheating on drive-end bearing, infrared scan shows hot spot at 96°C",overheating,High,46.0,5.0,7.2,O-ring set,0.49,0.82,0.75,0.92,0.74
WO-00208,EQ-0034,Air Compressor,Plant B - Line 1,2023-06-17,TECH-011,"Oil level low in gearbox sight glass, top-up of 4.4L required",lubrication,Low,,6.9,3.5,Impeller,0.72,0.82,0.92,0.67,0.79
WO-00209,EQ-0020,Electric Motor,Warehouse C,2022-06-29,TECH-005,"Impeller damage suspected, broadband vibration increase 6.2 mm/s",vibration,Medium,,11.2,11.2,O-ring set,0.47,0.42,0.66,0.48,0.504
WO-00210,EQ-0017,Electric Motor,Plant A - Line 2,2023-04-15,TECH-018,"Cooling fan obstructed by debris, motor surface temperature 100°C",overheating,High,,2.9,4.2,Capacitor 40µF,0.53,0.82,0.74,0.57,0.677
WO-00211,EQ-0049,Cooling Tower,Utilities Block,2023-01-01,TECH-017,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,15.0,9.9,2.9,Contactor 3RT2,0.85,0.86,0.6,0.45,0.71
WO-00212,EQ-0029,Conveyor Belt,Plant A - Line 1,2022-12-26,TECH-015,"Insulation resistance measured at 43 MΩ, below 100 MΩ minimum",electrical_fault,High,115.0,14.1,1.9,None - monitoring,0.86,0.57,0.9,0.98,0.807
WO-00213,EQ-0028,Air Compressor,Utilities Block,2022-10-07,TECH-005,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,High,143.0,7.7,6.6,Contactor 3RT2,0.43,0.63,0.78,0.43,0.578
WO-00214,EQ-0020,Electric Motor,Warehouse C,2022-07-03,TECH-009,"Rust deposits blocking strainer, pressure differential 8 PSI across filter",corrosion,Low,177.0,10.5,0.4,Impeller,1.0,0.44,0.87,0.75,0.75
WO-00215,EQ-0037,Gearbox,Warehouse C,2023-01-01,TECH-012,"Heat exchanger fouling reducing efficiency, outlet temp 105°C above setpoint",overheating,High,70.0,6.1,5.8,Bearing 6205-2RS,0.5,0.72,0.97,0.71,0.725
WO-00216,EQ-0050,Electric Motor,Plant A - Line 2,2023-12-31,TECH-004,"Impeller damage suspected, broadband vibration increase 4.7 mm/s. Additionally, contactor pitting observed, intermittent contact causing voltage dips",vibration,Medium,30.0,7.0,9.6,O-ring set,0.95,0.69,0.66,0.62,0.734
WO-00217,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-03-12,TECH-016,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,12.7,1.5,None - monitoring,0.33,0.46,0.9,0.71,0.588
WO-00218,EQ-0004,Electric Motor,Warehouse C,2022-06-14,TECH-017,"Heat exchanger fouling reducing efficiency, outlet temp 67°C above setpoint",overheating,High,,12.6,11.6,Mechanical seal kit,0.37,0.75,0.51,0.53,0.551
WO-00219,EQ-0013,Electric Motor,Plant B - Line 1,2023-03-11,TECH-011,"Lubricant contamination detected, water content 37% above limit",lubrication,Low,59.0,6.8,7.8,Mechanical seal kit,0.63,0.71,0.75,0.62,0.682
WO-00220,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-11-27,TECH-004,"Excessive vibration on pump casing, amplitude 3.9 mm/s at 1500 RPM",vibration,Medium,4.0,16.0,11.8,None - monitoring,0.61,0.8,0.54,0.49,0.626
WO-00221,EQ-0026,Cooling Tower,Warehouse C,2024-01-01,TECH-013,"Insulation resistance measured at 13 MΩ, below 100 MΩ minimum",electrical_fault,High,,9.7,11.0,Coupling insert,0.63,0.76,0.7,0.69,0.698
