record_id,equipment_id,equipment_type,location,visit_date,defect_description,true_defect_label,cluster,defect_cluster_name,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,quality_score,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence
WO-00198,EQ-0003,Cooling Tower,Plant A - Line 1,2022-06-24,"Dynamic seal failure suspected, pressure drop of 38% noted in system. Additionally, seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,,1.5,1.8,Impeller,0.648,0.72,0.77,0.53,0.52
WO-00199,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-06-22,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,,9.1,6.0,Bearing 6205-2RS,0.69,0.39,0.87,0.82,0.63
WO-00200,EQ-0011,Cooling Tower,Plant A - Line 1,2023-04-07,"Bearing play exceeding tolerance, axial movement of 0.12mm observed",bearing_wear,11,Cluster 11,Medium,45.0,10.0,0.6,Impeller,0.661,0.73,0.45,0.91,0.58
WO-00201,EQ-0027,Gearbox,Warehouse C,2023-04-10,"Bearing temperature elevated to 77°C during operation, vibration increasing. Additionally, hydraulic fluid leak at cylinder rod seal, 45 ml/hr estimated loss",bearing_wear,8,Cluster 8,Medium,14.0,14.8,3.9,Impeller,0.586,0.66,0.44,0.62,0.67
WO-00202,EQ-0038,Cooling Tower,Plant A - Line 2,2023-03-23,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,9,Cluster 9,Medium,157.0,7.6,4.4,Impeller,0.786,0.8,0.78,0.99,0.52
WO-00203,EQ-0009,Cooling Tower,Plant A - Line 1,2023-08-15,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,,13.8,1.8,Impeller,0.705,0.9,0.53,0.74,0.68
WO-00204,EQ-0001,Air Compressor,Plant A - Line 1,2023-05-06,"Earth leakage current 36.3mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,,11.3,1.7,Contactor 3RT2,0.686,0.36,0.85,0.85,0.64
WO-00205,EQ-0014,Cooling Tower,Plant B - Line 1,2023-12-16,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient. Additionally, galvanic corrosion at dissimilar metal joint, wall thickness reduced",bearing_wear,12,Cluster 12,Medium,,8.9,10.6,Coupling insert,0.736,0.82,0.43,0.97,0.8
WO-00206,EQ-0004,Electric Motor,Warehouse C,2023-08-18,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,11.4,12.9,Coupling insert,0.63,0.55,0.56,0.84,0.57
WO-00207,EQ-0005,Electric Motor,Utilities Block,2022-03-31,"Overheating on drive-end bearing, infrared scan shows hot spot at 96°C",overheating,11,Cluster 11,High,46.0,5.0,7.2,O-ring set,0.74,0.49,0.82,0.75,0.92
WO-00208,EQ-0034,Air Compressor,Plant B - Line 1,2023-06-17,"Oil level low in gearbox sight glass, top-up of 4.4L required",lubrication,2,Mechanical Seal Leak,Low,,6.9,3.5,Impeller,0.79,0.72,0.82,0.92,0.67
WO-00209,EQ-0020,Electric Motor,Warehouse C,2022-06-29,"Impeller damage suspected, broadband vibration increase 6.2 mm/s",vibration,3,Overheating,Medium,,11.2,11.2,O-ring set,0.504,0.47,0.42,0.66,0.48
WO-00210,EQ-0017,Electric Motor,Plant A - Line 2,2023-04-15,"Cooling fan obstructed by debris, motor surface temperature 100°C",overheating,2,Mechanical Seal Leak,High,,2.9,4.2,Capacitor 40µF,0.677,0.53,0.82,0.74,0.57
WO-00211,EQ-0049,Cooling Tower,Utilities Block,2023-01-01,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,15.0,9.9,2.9,Contactor 3RT2,0.71,0.85,0.86,0.6,0.45
WO-00212,EQ-0029,Conveyor Belt,Plant A - Line 1,2022-12-26,"Insulation resistance measured at 43 MΩ, below 100 MΩ minimum",electrical_fault,10,Cluster 10,High,115.0,14.1,1.9,None - monitoring,0.807,0.86,0.57,0.9,0.98
WO-00213,EQ-0028,Air Compressor,Utilities Block,2022-10-07,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,11,Cluster 11,High,143.0,7.7,6.6,Contactor 3RT2,0.578,0.43,0.63,0.78,0.43
WO-00214,EQ-0020,Electric Motor,Warehouse C,2022-07-03,"Rust deposits blocking strainer, pressure differential 8 PSI across filter",corrosion,4,Lubrication Issue,Low,177.0,10.5,0.4,Impeller,0.75,1.0,0.44,0.87,0.75
WO-00215,EQ-0037,Gearbox,Warehouse C,2023-01-01,"Heat exchanger fouling reducing efficiency, outlet temp 105°C above setpoint",overheating,8,Cluster 8,High,70.0,6.1,5.8,Bearing 6205-2RS,0.725,0.5,0.72,0.97,0.71
WO-00216,EQ-0050,Electric Motor,Plant A - Line 2,2023-12-31,"Impeller damage suspected, broadband vibration increase 4.7 mm/s. Additionally, contactor pitting observed, intermittent contact causing voltage dips",vibration,3,Overheating,Medium,30.0,7.0,9.6,O-ring set,0.734,0.95,0.69,0.66,0.62
WO-00217,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-03-12,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,,12.7,1.5,None - monitoring,0.588,0.33,0.46,0.9,0.71
WO-00218,EQ-0004,Electric Motor,Warehouse C,2022-06-14,"Heat exchanger fouling reducing efficiency, outlet temp 67°C above setpoint",overheating,8,Cluster 8,High,,12.6,11.6,Mechanical seal kit,0.551,0.37,0.75,0.51,0.53
WO-00219,EQ-0013,Electric Motor,Plant B - Line 1,2023-03-11,"Lubricant contamination detected, water content 37% above limit",lubrication,6,Corrosion & Erosion,Low,59.0,6.8,7.8,Mechanical seal kit,0.682,0.63,0.71,0.75,0.62
WO-00220,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-11-27,"Excessive vibration on pump casing, amplitude 3.9 mm/s at 1500 RPM",vibration,9,Cluster 9,Medium,4.0,16.0,11.8,None - monitoring,0.626,0.61,0.8,0.54,0.49
WO-00221,EQ-0026,Cooling Tower,Warehouse C,2024-01-01,"Insulation resistance measured at 13 MΩ, below 100 MΩ minimum",electrical_fault,10,Cluster 10,High,,9.7,11.0,Coupling insert,0.698,0.63,0.76,0.7,0.69
WO-00222,EQ-0018,Electric Motor,Utilities Block,2023-11-27,"Bearing play exceeding tolerance, axial movement of 0.39mm observed",bearing_wear,11,Cluster 11,Medium,78.0,10.1,1.5,Capacitor 40µF,0.784,0.84,0.88,0.6,0.8
WO-00223,EQ-0032,Electric Motor,Plant A - Line 2,2023-12-03,"Cavitation noise and vibration in pump, inlet pressure below NPSH. Additionally, coating failure on tank exterior, rust streaks visible below insulation",vibration,4,Lubrication Issue,Medium,121.0,7.9,10.1,Bearing 6205-2RS,0.754,0.57,0.7,0.99,0.77
WO-00224,EQ-0023,Cooling Tower,Warehouse C,2022-12-26,"Rust deposits blocking strainer, pressure differential 8 PSI across filter",corrosion,4,Lubrication Issue,Low,63.0,4.3,4.2,Mechanical seal kit,0.65,0.94,0.44,0.65,0.6
WO-00225,EQ-0002,Heat Exchanger,Utilities Block,2023-05-16,"Excessive vibration on pump casing, amplitude 8.8 mm/s at 750 RPM",vibration,9,Cluster 9,Medium,173.0,3.7,2.8,O-ring set,0.688,0.73,0.62,0.72,0.7
WO-00226,EQ-0005,Electric Motor,Utilities Block,2023-06-12,"Chemical attack on pump impeller, material loss estimated 19%. Additionally, wrong lubricant grade used during last service, compatibility issue",corrosion,6,Corrosion & Erosion,Low,141.0,3.3,0.1,O-ring set,0.749,0.7,0.53,0.98,0.85
WO-00227,EQ-0030,Gearbox,Plant A - Line 1,2023-02-25,"Hydraulic fluid leak at cylinder rod seal, 149 ml/hr estimated loss",seal_leak,8,Cluster 8,Medium,17.0,10.3,13.1,Oil filter + 5L oil,0.68,0.75,0.55,0.8,0.64
WO-00228,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-11-06,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,165.0,13.7,19.8,Bearing 6205-2RS,0.648,0.34,0.94,0.66,0.58
WO-00229,EQ-0005,Electric Motor,Utilities Block,2023-06-22,"Grease nipple blocked, bearing running dry for estimated 28 days",lubrication,2,Mechanical Seal Leak,Low,24.0,4.2,0.8,Coupling insert,0.867,0.88,0.84,0.9,0.85
WO-00230,EQ-0028,Air Compressor,Utilities Block,2022-10-12,"Mechanical seal leaking at shaft interface, fluid loss approx 70 ml/hr",seal_leak,1,Vibration & Imbalance,Medium,,15.0,8.2,Oil filter + 5L oil,0.752,0.31,0.98,0.8,0.9
WO-00231,EQ-0043,Air Compressor,Plant A - Line 1,2023-02-02,"Surface corrosion on pipe flanges, pitting depth approx 2.3mm",corrosion,10,Cluster 10,Low,101.0,14.9,20.5,Mechanical seal kit,0.842,0.96,0.85,0.65,0.92
WO-00232,EQ-0011,Cooling Tower,Plant A - Line 1,2022-06-14,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,9,Cluster 9,Low,,8.3,4.4,Capacitor 40µF,0.62,0.82,0.67,0.51,0.43
WO-00233,EQ-0042,Electric Motor,Plant A - Line 1,2023-12-04,"Bearing play exceeding tolerance, axial movement of 1.64mm observed",bearing_wear,11,Cluster 11,Medium,82.0,7.5,9.8,Oil filter + 5L oil,0.612,0.42,0.76,0.66,0.57
WO-00234,EQ-0006,Gearbox,Warehouse C,2022-02-20,"Cooling fan obstructed by debris, motor surface temperature 90°C",overheating,2,Mechanical Seal Leak,High,110.0,9.8,2.2,O-ring set,0.728,0.96,0.47,0.86,0.66
WO-00235,EQ-0030,Gearbox,Plant A - Line 1,2023-12-11,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced. Additionally, lubricant contamination detected, water content 20% above limit",corrosion,10,Cluster 10,Low,55.0,11.6,12.3,Oil filter + 5L oil,0.631,0.35,0.73,0.53,0.96
WO-00236,EQ-0031,Heat Exchanger,Warehouse C,2023-08-18,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,44.0,8.3,11.6,O-ring set,0.631,0.36,0.83,0.72,0.56
WO-00237,EQ-0021,Gearbox,Plant B - Line 3,2023-05-19,"Bearing temperature elevated to 96°C during operation, vibration increasing",bearing_wear,2,Mechanical Seal Leak,Medium,,2.8,3.6,Bearing 6205-2RS,0.52,0.43,0.43,0.59,0.68
WO-00238,EQ-0011,Cooling Tower,Plant A - Line 1,2022-10-18,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,11,Cluster 11,High,44.0,12.1,14.9,Contactor 3RT2,0.81,0.71,0.98,0.76,0.74
WO-00239,EQ-0027,Gearbox,Warehouse C,2023-12-26,"Lubricant contamination detected, water content 23% above limit",lubrication,6,Corrosion & Erosion,Low,,7.5,10.7,Bearing 6205-2RS,0.598,0.53,0.43,0.81,0.67
WO-00240,EQ-0047,Air Compressor,Utilities Block,2023-02-13,"Automatic lubrication system failed, manual greasing required",lubrication,12,Cluster 12,Low,54.0,3.0,3.5,O-ring set,0.658,0.38,0.69,0.72,0.88
WO-00241,EQ-0020,Electric Motor,Warehouse C,2023-01-13,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,,7.2,4.6,Capacitor 40µF,0.654,0.54,0.68,0.61,0.81
WO-00242,EQ-0010,Hydraulic Press,Plant A - Line 1,2023-07-19,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,12.0,8.5,6.5,Mechanical seal kit,0.756,0.63,0.83,0.91,0.61
WO-00243,EQ-0038,Cooling Tower,Plant A - Line 2,2022-09-29,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,48.0,3.8,0.4,Oil filter + 5L oil,0.638,0.91,0.46,0.77,0.4
WO-00244,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-05-09,"Bearing vibration amplitude 8.5 mm/s RMS, trending upward over last 45 days",bearing_wear,3,Overheating,Medium,49.0,2.2,0.1,Bearing 6205-2RS,0.686,0.45,0.79,0.82,0.66
WO-00245,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-08-23,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,76.0,9.3,11.6,Coupling insert,0.724,0.31,0.78,0.86,0.99
WO-00246,EQ-0032,Electric Motor,Plant A - Line 2,2022-11-20,"VFD fault code F63 logged, overcurrent on deceleration",electrical_fault,7,Cluster 7,High,69.0,14.3,8.9,Mechanical seal kit,0.782,0.65,0.96,0.67,0.82
WO-00247,EQ-0002,Heat Exchanger,Utilities Block,2023-11-21,"Bearing vibration amplitude 9.0 mm/s RMS, trending upward over last 35 days",bearing_wear,3,Overheating,Medium,,6.1,4.3,Contactor 3RT2,0.684,0.5,0.85,0.83,0.48
WO-00248,EQ-0013,Electric Motor,Plant B - Line 1,2023-05-31,"Bearing play exceeding tolerance, axial movement of 2.0mm observed",bearing_wear,11,Cluster 11,Medium,17.0,5.7,1.0,Mechanical seal kit,0.804,0.69,0.69,1.0,0.87
WO-00249,EQ-0050,Electric Motor,Plant A - Line 2,2022-04-15,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,,1.2,0.2,Contactor 3RT2,0.676,0.94,0.49,0.65,0.66
WO-00250,EQ-0033,Centrifugal Pump,Warehouse C,2023-01-06,"Impeller damage suspected, broadband vibration increase 7.8 mm/s. Additionally, electrical cabinet temperature 113°c due to failed ventilation fan",vibration,3,Overheating,Medium,,7.4,8.5,Mechanical seal kit,0.614,0.36,0.59,0.99,0.5
WO-00251,EQ-0004,Electric Motor,Warehouse C,2022-07-22,"Motor winding temperature reached 107°C, thermal protection triggered. Additionally, compressor discharge temperature 104°c, intercooler bypass suspected",overheating,2,Mechanical Seal Leak,High,,1.8,1.5,O-ring set,0.676,0.66,0.72,0.61,0.71
WO-00252,EQ-0020,Electric Motor,Warehouse C,2023-06-04,"Impeller damage suspected, broadband vibration increase 2.4 mm/s",vibration,3,Overheating,Medium,13.0,12.2,17.2,Oil filter + 5L oil,0.57,0.7,0.4,0.67,0.54
WO-00253,EQ-0048,Cooling Tower,Plant B - Line 3,2022-09-11,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,133.0,9.5,11.7,Impeller,0.659,0.37,0.83,0.91,0.45
WO-00254,EQ-0004,Electric Motor,Warehouse C,2023-05-17,"Cooling fan obstructed by debris, motor surface temperature 95°C",overheating,2,Mechanical Seal Leak,High,,7.0,1.7,O-ring set,0.748,0.64,0.67,0.98,0.71
WO-00255,EQ-0034,Air Compressor,Plant B - Line 1,2023-01-19,"Bearing temperature elevated to 94°C during operation, vibration increasing",bearing_wear,2,Mechanical Seal Leak,Medium,125.0,0.9,0.2,None - monitoring,0.705,0.33,0.94,0.94,0.53
WO-00256,EQ-0048,Cooling Tower,Plant B - Line 3,2023-10-24,"Excessive vibration on pump casing, amplitude 15.9 mm/s at 3000 RPM. Additionally, galvanic corrosion at dissimilar metal joint, wall thickness reduced",vibration,9,Cluster 9,Medium,43.0,11.5,9.9,Capacitor 40µF,0.754,0.75,0.79,0.54,0.97
WO-00257,EQ-0035,Electric Motor,Warehouse C,2023-09-14,"Excessive vibration on pump casing, amplitude 14.0 mm/s at 3000 RPM",vibration,9,Cluster 9,Medium,151.0,1.2,1.6,Coupling insert,0.698,0.61,0.65,0.93,0.59
WO-00258,EQ-0017,Electric Motor,Plant A - Line 2,2022-04-12,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,106.0,14.3,5.5,Bearing 6205-2RS,0.702,0.44,0.85,0.79,0.7
WO-00259,EQ-0049,Cooling Tower,Utilities Block,2022-09-10,"Excessive vibration on pump casing, amplitude 9.4 mm/s at 750 RPM",vibration,9,Cluster 9,Medium,,10.6,2.0,None - monitoring,0.787,0.61,0.91,0.75,0.87
WO-00260,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-10-07,"Cooling fan obstructed by debris, motor surface temperature 115°C",overheating,2,Mechanical Seal Leak,High,175.0,6.4,3.4,Capacitor 40µF,0.556,0.5,0.5,0.77,0.44
WO-00261,EQ-0006,Gearbox,Warehouse C,2023-04-09,"Motor winding temperature reached 118°C, thermal protection triggered",overheating,2,Mechanical Seal Leak,High,170.0,15.7,8.0,Coupling insert,0.608,0.31,0.82,0.82,0.4
WO-00262,EQ-0031,Heat Exchanger,Warehouse C,2023-04-01,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,,6.0,7.3,Coupling insert,0.838,0.57,0.9,0.91,0.99
WO-00263,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-02-07,"Cooling fan obstructed by debris, motor surface temperature 93°C",overheating,2,Mechanical Seal Leak,High,156.0,3.7,1.1,Mechanical seal kit,0.783,0.91,0.74,0.75,0.73
WO-00264,EQ-0043,Air Compressor,Plant A - Line 1,2023-12-11,"Earth leakage current 75.0mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,,10.0,10.2,Bearing 6205-2RS,0.802,0.96,0.78,0.97,0.43
WO-00265,EQ-0021,Gearbox,Plant B - Line 3,2022-12-09,"Overheating on drive-end bearing, infrared scan shows hot spot at 82°C",overheating,11,Cluster 11,High,147.0,13.0,19.3,None - monitoring,0.798,0.97,0.95,0.6,0.6
WO-00267,EQ-0045,Heat Exchanger,Utilities Block,2022-08-27,"Bearing temperature elevated to 68°C during operation, vibration increasing",bearing_wear,2,Mechanical Seal Leak,Medium,,12.7,11.9,None - monitoring,0.648,0.62,0.66,0.81,0.46
WO-00268,EQ-0042,Electric Motor,Plant A - Line 1,2023-03-08,"Automatic lubrication system failed, manual greasing required",lubrication,12,Cluster 12,Low,159.0,7.4,2.7,Bearing 6205-2RS,0.67,0.39,0.75,0.76,0.79
WO-00269,EQ-0023,Cooling Tower,Warehouse C,2022-02-25,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,2,Mechanical Seal Leak,Medium,51.0,15.6,15.0,Mechanical seal kit,0.786,0.54,0.8,0.85,0.99
WO-00270,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-12-11,"Capacitor bank showing reduced capacitance, power factor 0.8 below target",electrical_fault,2,Mechanical Seal Leak,High,160.0,3.8,2.7,None - monitoring,0.634,0.44,0.51,0.99,0.62
WO-00271,EQ-0005,Electric Motor,Utilities Block,2022-07-02,"Compressor discharge temperature 72°C, intercooler bypass suspected",overheating,2,Mechanical Seal Leak,High,46.0,13.6,18.6,O-ring set,0.736,0.57,0.87,0.56,0.96
WO-00272,EQ-0020,Electric Motor,Warehouse C,2023-09-06,"Heat exchanger fouling reducing efficiency, outlet temp 116°C above setpoint",overheating,8,Cluster 8,High,163.0,4.3,0.3,Contactor 3RT2,0.652,0.9,0.58,0.57,0.55
WO-00273,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-06-16,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,7,Cluster 7,Low,83.0,11.5,9.1,Impeller,0.762,0.63,0.75,0.82,0.87
WO-00274,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-03,"Bearing temperature elevated to 77°C during operation, vibration increasing. Additionally, cavitation noise and vibration in pump, inlet pressure below npsh",bearing_wear,4,Lubrication Issue,Medium,68.0,10.5,5.7,Oil filter + 5L oil,0.814,0.89,0.71,0.82,0.87
WO-00275,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-07-11,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,,0.6,0.3,None - monitoring,0.809,0.96,0.89,0.88,0.41
WO-00276,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-12,"Impeller damage suspected, broadband vibration increase 5.6 mm/s",vibration,3,Overheating,Medium,179.0,7.0,4.6,Bearing 6205-2RS,0.699,0.56,0.75,0.56,0.97
WO-00277,EQ-0001,Air Compressor,Plant A - Line 1,2023-08-05,Belt tension incorrect causing vibration and premature wear,vibration,0,Bearing Wear & Noise,Medium,,9.8,8.9,None - monitoring,0.594,0.44,0.63,0.77,0.51
WO-00278,EQ-0007,Heat Exchanger,Utilities Block,2022-10-18,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,75.0,10.7,1.1,Coupling insert,0.678,0.66,0.5,0.93,0.65
WO-00279,EQ-0011,Cooling Tower,Plant A - Line 1,2022-07-27,"Lubricant contamination detected, water content 13% above limit",lubrication,6,Corrosion & Erosion,Low,176.0,7.6,2.3,Impeller,0.646,0.34,0.64,0.9,0.72
WO-00280,EQ-0037,Gearbox,Warehouse C,2023-11-14,"Grease nipple blocked, bearing running dry for estimated 21 days. Additionally, earth leakage current 75.9ma detected, isolation check required",lubrication,5,Electrical Fault,Low,,11.3,12.2,Impeller,0.67,0.59,0.86,0.56,0.62
WO-00281,EQ-0049,Cooling Tower,Utilities Block,2022-07-19,Grease discolouration and hardening noted around bearing cap,bearing_wear,2,Mechanical Seal Leak,Medium,3.0,4.4,4.7,Coupling insert,0.669,0.77,0.68,0.73,0.45
WO-00282,EQ-0043,Air Compressor,Plant A - Line 1,2023-11-25,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,113.0,6.1,2.0,Capacitor 40µF,0.767,0.45,0.82,0.92,0.89
WO-00283,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-14,"Earth leakage current 33.3mA detected, isolation check required. Additionally, unusual noise detected in bearing housing, suspected wear on inner race",electrical_fault,5,Electrical Fault,High,,15.0,8.9,Mechanical seal kit,0.5,0.46,0.46,0.66,0.41
WO-00284,EQ-0042,Electric Motor,Plant A - Line 1,2023-12-06,"Seal face wear visible during inspection, scoring on stationary ring. Additionally, capacitor bank showing reduced capacitance, power factor 0.79 below target",seal_leak,7,Cluster 7,Medium,171.0,8.0,4.0,Impeller,0.682,0.57,0.78,0.62,0.75
WO-00285,EQ-0001,Air Compressor,Plant A - Line 1,2022-09-01,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,2,Mechanical Seal Leak,Medium,,9.8,13.9,O-ring set,0.722,0.49,0.79,0.88,0.71
WO-00286,EQ-0027,Gearbox,Warehouse C,2022-11-26,"Misalignment between motor and gearbox shaft, 15.6 mm/s 2X vibration",vibration,2,Mechanical Seal Leak,Medium,162.0,0.6,0.8,Contactor 3RT2,0.723,0.34,1.0,0.97,0.48
WO-00287,EQ-0012,Conveyor Belt,Warehouse C,2023-10-13,"Impeller damage suspected, broadband vibration increase 5.8 mm/s",vibration,3,Overheating,Medium,124.0,1.7,2.5,None - monitoring,0.658,0.42,0.66,0.75,0.84
WO-00288,EQ-0049,Cooling Tower,Utilities Block,2023-07-30,Grease discolouration and hardening noted around bearing cap,bearing_wear,2,Mechanical Seal Leak,Medium,,1.6,0.3,Contactor 3RT2,0.523,0.41,0.51,0.51,0.7
WO-00289,EQ-0047,Air Compressor,Utilities Block,2022-02-05,"Overheating on drive-end bearing, infrared scan shows hot spot at 91°C. Additionally, grease nipple blocked, bearing running dry for estimated 25 days",overheating,11,Cluster 11,High,,6.1,6.5,O-ring set,0.641,0.48,0.67,0.84,0.55
WO-00290,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-12-10,Belt tension incorrect causing vibration and premature wear,vibration,0,Bearing Wear & Noise,Medium,137.0,10.7,6.1,None - monitoring,0.819,0.83,0.95,0.93,0.47
WO-00291,EQ-0037,Gearbox,Warehouse C,2023-03-18,"Rust deposits blocking strainer, pressure differential 29 PSI across filter",corrosion,4,Lubrication Issue,Low,96.0,3.4,0.7,O-ring set,0.604,0.65,0.47,0.78,0.53
WO-00292,EQ-0013,Electric Motor,Plant B - Line 1,2023-05-12,"Bearing temperature elevated to 116°C during operation, vibration increasing",bearing_wear,2,Mechanical Seal Leak,Medium,,2.1,0.2,Bearing 6205-2RS,0.582,0.37,0.71,0.5,0.76
WO-00293,EQ-0049,Cooling Tower,Utilities Block,2022-04-13,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,179.0,6.7,8.4,Bearing 6205-2RS,0.78,0.72,0.92,0.64,0.82
WO-00294,EQ-0016,Air Compressor,Warehouse C,2022-11-30,"Compressor discharge temperature 108°C, intercooler bypass suspected",overheating,2,Mechanical Seal Leak,High,,4.1,3.0,Mechanical seal kit,0.804,0.54,0.96,0.97,0.69
WO-00295,EQ-0043,Air Compressor,Plant A - Line 1,2022-04-29,"Oil level low in gearbox sight glass, top-up of 1.3L required",lubrication,2,Mechanical Seal Leak,Low,139.0,4.2,1.3,Mechanical seal kit,0.736,0.6,0.83,0.58,0.96
WO-00296,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-09-08,Internal corrosion found on heat exchanger tubes during inspection,corrosion,8,Cluster 8,Low,88.0,6.3,6.8,Capacitor 40µF,0.71,0.98,0.66,0.62,0.56
WO-00297,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-05-27,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, structural resonance observed at 750 rpm, bolts found loose on baseplate",bearing_wear,5,Electrical Fault,Medium,,2.8,1.2,Coupling insert,0.767,0.52,0.99,0.56,1.0
WO-00298,EQ-0046,Electric Motor,Plant B - Line 3,2023-05-15,Belt tension incorrect causing vibration and premature wear,vibration,0,Bearing Wear & Noise,Medium,,5.1,6.2,Bearing 6205-2RS,0.758,0.68,0.6,0.84,0.99
WO-00299,EQ-0049,Cooling Tower,Utilities Block,2023-04-14,"Motor winding temperature reached 98°C, thermal protection triggered",overheating,2,Mechanical Seal Leak,High,,9.4,6.2,Oil filter + 5L oil,0.72,0.93,0.53,0.9,0.52
WO-00300,EQ-0042,Electric Motor,Plant A - Line 1,2023-08-31,"Bearing vibration amplitude 12.9 mm/s RMS, trending upward over last 12 days",bearing_wear,3,Overheating,Medium,39.0,10.2,6.2,Mechanical seal kit,0.728,0.47,0.69,0.84,0.97
WO-00301,EQ-0042,Electric Motor,Plant A - Line 1,2023-06-06,"Capacitor bank showing reduced capacitance, power factor 0.69 below target",electrical_fault,2,Mechanical Seal Leak,High,151.0,9.4,8.1,Mechanical seal kit,0.711,0.86,0.51,0.74,0.79
WO-00302,EQ-0028,Air Compressor,Utilities Block,2024-01-01,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,9,Cluster 9,Medium,,10.6,12.0,Mechanical seal kit,0.629,0.43,0.76,0.59,0.73
WO-00303,EQ-0021,Gearbox,Plant B - Line 3,2022-09-12,"Bearing temperature elevated to 101°C during operation, vibration increasing",bearing_wear,2,Mechanical Seal Leak,Medium,133.0,14.5,6.4,Impeller,0.662,0.4,0.69,0.66,0.95
WO-00304,EQ-0023,Cooling Tower,Warehouse C,2022-05-12,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,4,Lubrication Issue,Medium,,7.0,5.8,None - monitoring,0.714,0.75,0.5,0.73,0.97
WO-00305,EQ-0044,Electric Motor,Plant B - Line 1,2023-03-21,Electrical cabinet temperature 74°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,155.0,4.3,1.7,Mechanical seal kit,0.642,0.78,0.64,0.66,0.45
WO-00306,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-04-08,Internal corrosion found on heat exchanger tubes during inspection,corrosion,8,Cluster 8,Low,180.0,9.4,4.0,Mechanical seal kit,0.751,0.93,0.5,0.97,0.63
WO-00307,EQ-0023,Cooling Tower,Warehouse C,2022-02-24,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,,10.4,5.8,None - monitoring,0.774,0.79,0.51,0.99,0.88
